date,profile_views_90d,post_impressions_7d,followers,search_appearances_7d,social_engagements_7d,notes
2026-06-12,45,12,5771,81,,Baseline captured at DiB rebrand launch
2026-07-17,35,164,5770,43,,
2026-07-24,39,274,5768,64,13,Top post: 135 impressions / 5 engagements, re: client sitting on hiring decisions
2026-07-31,36,176,5771,43,,
2026-08-07,36,476,5769,32,21,Top post: back-in-school content
2026-08-08,36,589,5772,32,14,Top post: back-in-school content
2026-08-14,44,461,5772,34,18,
2026-08-17,,382,5773,,16,"Top post: ""I texted a client after hours"" (110 impressions/7 engagements, Wed 8/12). Started per-post/day-of-week tracking in post-performance.csv and daily-engagement.csv this week — see those for the cadence analysis."
2026-08-21,51,320,5777,11,14,"Top post: ""Most advisors specialize in one lane"" (78 impressions/1 engagement, Mon 8/17). Discovered this week that LinkedIn's Top Posts export reports activity within the report window, not lifetime totals per post — post-performance.csv now logs each export as a dated snapshot (export_period_start/end columns) instead of overwriting a post's row, so history isn't lost when a post's in-window numbers are lower than a prior week's. Also corrected 8/17 in daily-engagement.csv (81 impr/4 eng vs. 64/3 previously) — LinkedIn revises recent days as more data lands."
2026-08-28,51,285,5776,23,8,"Top post: ""I've noticed people creating their contracts"" (90 impressions/4 engagements, Wed 8/26). Cadence read updated: Wednesday still leads (avg 35.6 impressions across 5 posts) vs. Monday (10.3 avg, 7 posts) and Friday (12.2 avg, 9 posts) — pattern holding as sample size grows, though still below the 5-6-posts-per-day threshold for calling it confirmed on all three days. profile_views_90d and search_appearances_7d filled in from the separate analytics page Jackie pastes in; that page reported 286 post impressions vs. 285 from the Aggregate Analytics export's DISCOVERY sheet — kept the export figure since it's the more precise/auditable source, logging the 1-off discrepancy here rather than silently picking one."
2026-09-04,54,376,5776,16,23,"Top post: ""Recently I had a prospective client ask"" (104 impressions/11 engagements, Wed 9/2). Cadence read: Wednesday still leads (avg 40.2 impressions across 6 posts) vs. Monday (19.4 avg, 7 posts, pulled up by one outlier at 112 impressions) and Friday (11.4 avg, 8 posts) — all three weekdays now have 6+ posts, crossing the sample-size threshold for treating this as a real pattern rather than noise."
